location_cell,id,2017-12-06 to 2017-12-07,2017-12-16 to 2017-12-17,2017-12-26 to 2017-12-27
-1.0,20600332,195,195,300
-1.0,10186787,40,40,40
-1.0,1481907,220,270,276
-1.0,876792,69,69,69
-1.0,19811395,60,60,45
-1.0,667502,150,175,180
-1.0,9274039,85,95,120
-1.0,3908094,68,68,68
-1.0,16721539,120,90,102
-1.0,16147720,73,64,55
-1.0,20227087,71,71,89
-1.0,9393993,100,100,100
-1.0,18023482,190,190,190
-1.0,14783394,49,49,75
-1.0,10685825,100,175,100
-1.0,10211935,65,85,75
-1.0,20167771,60,60,60
-1.0,11750272,85,85,85
-1.0,21027191,87,120,87
5.0,4119763,52,70,52
5.0,18199127,32,32,32
5.0,20092543,99,99,99
5.0,6972163,85,95,95
5.0,6705604,40,40,40
5.0,16273526,80,80,80
5.0,20828094,85,85,85
5.0,20675714,55,55,55
5.0,15336596,50,55,55
5.0,19174868,65,65,65
5.0,13997792,55,55,55
54.0,4994497,50,65,80
54.0,15201389,699,699,699
54.0,973535,99,99,250
54.0,4994497,50,65,80
54.0,17665781,35,35,35
54.0,16860045,47,51,52
54.0,4606675,65,60,65
54.0,17665943,60,60,60
54.0,16214199,180,200,400
54.0,6152725,280,280,225
54.0,16542227,135,135,135
54.0,21108505,95,125,125
54.0,19477007,75,75,75
54.0,20674761,65,75,65
54.0,19274661,50,50,50
42.0,15099391,110,110,110
42.0,19360560,45,45,45
42.0,15176641,85,85,85
42.0,15345966,70,80,70
42.0,19887332,90,90,90
81.0,14303304,90,90,90
81.0,4831703,150,150,150
81.0,17792856,75,75,70
81.0,12872742,65,120,95
81.0,7402303,120,120,120
81.0,2028432,75,75,75
81.0,6054194,125,125,125
81.0,8535125,180,180,180
81.0,11921509,130,130,130
81.0,18354821,50,50,50
81.0,771650,50,50,50
81.0,17224136,122,150,200
81.0,16394420,63,63,63
81.0,8648818,45,45,45
81.0,13544682,115,115,121
81.0,15037795,125,200,125
81.0,13063023,40,40,40
47.0,16928524,89,89,89
47.0,16737042,74,74,74
47.0,13413795,185,185,185
47.0,19159737,80,80,80
47.0,10191601,125,125,125
47.0,16206383,50,50,50
47.0,15940328,101,91,94
47.0,8908388,70,70,70
47.0,21042120,85,80,76
47.0,2134294,58,58,58
47.0,10193392,70,70,70
47.0,7638571,70,70,70
47.0,19227106,75,75,75
47.0,761835,80,80,80
47.0,18649105,125,125,100
47.0,2038278,100,100,100
75.0,9393213,225,275,225
75.0,19833001,629,629,800
75.0,15337504,79,79,79
75.0,18329016,145,150,150
75.0,4956451,40,40,40
75.0,20235386,45,45,45
75.0,18429435,249,199,169
75.0,21120066,50,50,50
75.0,19001284,59,59,59
75.0,20748175,54,54,60
75.0,4710218,60,60,60
75.0,13536155,74,74,74
75.0,12763599,69,69,69
75.0,12028753,183,194,225
75.0,12024959,22,43,25
36.0,19188166,220,220,220
36.0,16274775,35,35,35
36.0,7148121,99,125,99
36.0,9898538,95,95,95
36.0,19329546,38,38,38
36.0,21159830,57,57,57
36.0,21006224,69,99,69
36.0,19188025,239,239,239
36.0,16302192,38,38,38
36.0,20393012,70,70,70
36.0,10982458,129,139,159
36.0,16578960,50,50,50
36.0,17993317,60,60,60
73.0,9795890,75,75,75
73.0,591565,179,179,179
73.0,19957815,315,315,315
73.0,1498245,250,300,250
73.0,13951405,650,650,650
73.0,8482315,250,250,250
73.0,10035950,150,150,150
73.0,5013302,350,350,350
