tripadvisor_name,amadeus_name,tripadvisor_url,amadeus_code
The Blakely New York,Blakely New York,/Hotel_Review-g60763-d93445-Reviews-The_Blakely_New_York-New_York_City_New_York.html,WVNYCBLA
Gansevoort Park Avenue NYC,Gansevoort Park Avenue Nyc,/Hotel_Review-g60763-d1456411-Reviews-Gansevoort_Park_Avenue_NYC-New_York_City_New_York.html,GVNYC042
Fairfield Inn & Suites New York Manhattan/Chelsea,Fairfield Inn N Stes Marriott,/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York.html,FNNYCTWF
Park Lane Hotel,Park Lane Hotel New York Con,/Hotel_Review-g60763-d93579-Reviews-Park_Lane_Hotel-New_York_City_New_York.html,PHNYCHPL
Candlewood Suites New York City Times Square,Candlewood Suites Time Square,/Hotel_Review-g60763-d1025779-Reviews-Candlewood_Suites_New_York_City_Times_Square-New_York_City_New_York.html,YONYC73E
Hilton Garden Inn New York/Central Park South-Midtown West,Hilton Garden Inn Central Park South,/Hotel_Review-g60763-d5786212-Reviews-Hilton_Garden_Inn_New_York_Central_Park_South_Midtown_West-New_York_City_New_York.html,GINYC483
The Bowery Hotel,The Bowery Hotel,/Hotel_Review-g60763-d634696-Reviews-The_Bowery_Hotel-New_York_City_New_York.html,PWNYC383
Gramercy Park Hotel,Gramercy Park Hotel,/Hotel_Review-g60763-d571166-Reviews-Gramercy_Park_Hotel-New_York_City_New_York.html,DSNYCGPH
Hotel Mimosa,Hotel Mimosa,/Hotel_Review-g60763-d1448670-Reviews-Hotel_Mimosa-New_York_City_New_York.html,GDNYCMIM
The Roger,The Roger,/Hotel_Review-g60763-d80110-Reviews-The_Roger-New_York_City_New_York.html,YXNYCROG
The Whitby Hotel,The Whitby Hotel,/Hotel_Review-g60763-d10846801-Reviews-The_Whitby_Hotel-New_York_City_New_York.html,DSNYCWHE
Comfort Inn Times Square West,Comfort Inn Times Square West,/Hotel_Review-g60763-d1485603-Reviews-Comfort_Inn_Times_Square_West-New_York_City_New_York.html,CIJFK464
TRYP New York City Times Square South,Tryp By Wyndham Times Sq South,/Hotel_Review-g60763-d2253206-Reviews-TRYP_New_York_City_Times_Square_South-New_York_City_New_York.html,WTNYCTMS
Mondrian Park Avenue,Mondrian Park Avenue,/Hotel_Review-g60763-d12845266-Reviews-Mondrian_Park_Avenue-New_York_City_New_York.html,MRNYCSPA
Best Western Plus Hospitality House,Best Western Plus Hospitality,/Hotel_Review-g60763-d80087-Reviews-Best_Western_Plus_Hospitality_House-New_York_City_New_York.html,BWNYC114
Walker Hotel Greenwich Village,Walker Hotel Greenwich Village,/Hotel_Review-g60763-d3522780-Reviews-Walker_Hotel_Greenwich_Village-New_York_City_New_York.html,YXNYC467
The Manhattan Club,The Manhattan Club,/Hotel_Review-g60763-d99321-Reviews-The_Manhattan_Club-New_York_City_New_York.html,XTNYC720
Hilton Garden Inn New York/Manhattan-Chelsea,Hgi New York Manhattan Chelsea,/Hotel_Review-g60763-d641209-Reviews-Hilton_Garden_Inn_New_York_Manhattan_Chelsea-New_York_City_New_York.html,GILGA212
Dream Midtown,Dream Midtown,/Hotel_Review-g60763-d75688-Reviews-Dream_Midtown-New_York_City_New_York.html,DZNYCDNY
Four Points by Sheraton Manhattan SoHo Village,Four Points Soho Village,/Hotel_Review-g60763-d1157456-Reviews-Four_Points_by_Sheraton_Manhattan_SoHo_Village-New_York_City_New_York.html,SINYC537
The Marmara Manhattan,Marmara Manhattan Hotel,/Hotel_Review-g60763-d121998-Reviews-The_Marmara_Manhattan-New_York_City_New_York.html,YXNYC506
AKA Wall Street,Aka Wall Street,/Hotel_Review-g60763-d10039979-Reviews-AKA_Wall_Street-New_York_City_New_York.html,PHNYCWSH
Gansevoort Meatpacking NYC,Gansevoort Meatpacking Nyc,/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html,GVNYC707
The James New York-NoMad,James Nomad Formerly Carlton,/Hotel_Review-g60763-d12197432-Reviews-The_James_New_York_NoMad-New_York_City_New_York.html,NYNYCTJN
Life Hotel,Life Hotel Nomad- 5th Ave,/Hotel_Review-g60763-d93452-Reviews-Life_Hotel-New_York_City_New_York.html,LVNYCCLI
Broadway at Times Square Hotel,Broadway At Times Square Hotel,/Hotel_Review-g60763-d112021-Reviews-Broadway_at_Times_Square_Hotel-New_York_City_New_York.html,IQNYC041
"Club Quarters Hotel, Midtown","Club Quarters, Midtown",/Hotel_Review-g60763-d223021-Reviews-Club_Quarters_Hotel_Midtown-New_York_City_New_York.html,CQNYC558
Hilton Garden Inn New York/Manhattan-Midtown East,Hilton Garden Inn Newyork Manhattan,/Hotel_Review-g60763-d5960548-Reviews-Hilton_Garden_Inn_New_York_Manhattan_Midtown_East-New_York_City_New_York.html,GILGA963
Wingate by Wyndham Manhattan Midtown,Wingate By Wyndham Manhattan M,/Hotel_Review-g60763-d620040-Reviews-Wingate_by_Wyndham_Manhattan_Midtown-New_York_City_New_York.html,WGLGA451
La Quinta Inn & Suites New York City Central Park,La Quinta Inn Ste New York City Central,/Hotel_Review-g60763-d99447-Reviews-La_Quinta_Inn_Suites_New_York_City_Central_Park-New_York_City_New_York.html,LQNYC871
The Plaza,The Plaza,/Hotel_Review-g60763-d675616-Reviews-The_Plaza-New_York_City_New_York.html,FANYC100
The Marlton Hotel,The Marlton Hotel,/Hotel_Review-g60763-d4972409-Reviews-The_Marlton_Hotel-New_York_City_New_York.html,IQNYCUSM
The Gallivant Times Square,The Gallivant Times Square,/Hotel_Review-g60763-d75711-Reviews-The_Gallivant_Times_Square-New_York_City_New_York.html,YXNYC084
Element New York Times Square West,Element Times Square,/Hotel_Review-g60763-d1852917-Reviews-Element_New_York_Times_Square_West-New_York_City_New_York.html,ELNYC361
"The Pierre, A Taj Hotel, New York",The Pierre - A Taj Hotel,/Hotel_Review-g60763-d93603-Reviews-The_Pierre_A_Taj_Hotel_New_York-New_York_City_New_York.html,TJNYC709
Doubletree Hotel Chelsea - New York City,Doubletree By Hilton Nyc Chelsea,/Hotel_Review-g60763-d1214829-Reviews-Doubletree_Hotel_Chelsea_New_York_City-New_York_City_New_York.html,DTLGA100
The High Line Hotel,The High Line Hotel,/Hotel_Review-g60763-d4283443-Reviews-The_High_Line_Hotel-New_York_City_New_York.html,YXNYC575
Stewart Hotel,Stewart Hotel,/Hotel_Review-g60763-d93562-Reviews-Stewart_Hotel-New_York_City_New_York.html,XTNYC600
Four Points by Sheraton Midtown - Times Square,Four Points Midtown Times Sqre,/Hotel_Review-g60763-d1464151-Reviews-Four_Points_by_Sheraton_Midtown_Times_Square-New_York_City_New_York.html,SINYC713
Flatiron Hotel,Flatiron Hotel,/Hotel_Review-g60763-d1563892-Reviews-Flatiron_Hotel-New_York_City_New_York.html,YXNYCTFH
W New York,W Hotel New York,/Hotel_Review-g60763-d112066-Reviews-W_New_York-New_York_City_New_York.html,WHNYC502
6 Columbus - A SIXTY Hotel,6 Columbus A Sixty Hotel,/Hotel_Review-g60763-d93383-Reviews-6_Columbus_A_SIXTY_Hotel-New_York_City_New_York.html,SKNYCWPK
Washington Square Hotel,Washington Square Hotel,/Hotel_Review-g60763-d93382-Reviews-Washington_Square_Hotel-New_York_City_New_York.html,YXNYCWAS
Renaissance New York Hotel 57,Renaissance New York Hotel 57,/Hotel_Review-g60763-d575732-Reviews-Renaissance_New_York_Hotel_57-New_York_City_New_York.html,BRNYCBRB
Hilton Garden Inn New York Times Square South,Hilton Gi New York Times Square South,/Hotel_Review-g60763-d12199886-Reviews-Hilton_Garden_Inn_New_York_Times_Square_South-New_York_City_New_York.html,GINYC302
Fairfield Inn & Suites New York Manhattan/Fifth Avenue,Fairfield Inn Marriott 5th Ave,/Hotel_Review-g60763-d1486164-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Fifth_Avenue-New_York_City_New_York.html,FNNYCTMF
The Surrey,The Surrey,/Hotel_Review-g60763-d93566-Reviews-The_Surrey-New_York_City_New_York.html,WBNYC700
Hotel Boutique At Grand Central,Hotel Boutique Grand Central,/Hotel_Review-g60763-d4446427-Reviews-Hotel_Boutique_At_Grand_Central-New_York_City_New_York.html,YXNYCBGR
Comfort Inn Midtown West,Comfort Inn Midtown West,/Hotel_Review-g60763-d3502291-Reviews-Comfort_Inn_Midtown_West-New_York_City_New_York.html,CINYC548
Courtyard by Marriott New York Manhattan/Central Park,Courtyard Central Prk Marriott,/Hotel_Review-g60763-d5039852-Reviews-Courtyard_by_Marriott_New_York_Manhattan_Central_Park-New_York_City_New_York.html,CYNYCPKC
Hotel Hugo,Hotel Hugo,/Hotel_Review-g60763-d6219365-Reviews-Hotel_Hugo-New_York_City_New_York.html,XTNYCHGO
The Hotel at Times Square,The Hotel At Times Square,/Hotel_Review-g60763-d249711-Reviews-The_Hotel_at_Times_Square-New_York_City_New_York.html,IQNYC017
The Hotel 91,Hotel 91,/Hotel_Review-g60763-d1048678-Reviews-The_Hotel_91-New_York_City_New_York.html,WVNYC836
Courtyard New York Manhattan/Midtown East,Courtyard Midtown E Marriott,/Hotel_Review-g60763-d99371-Reviews-Courtyard_New_York_Manhattan_Midtown_East-New_York_City_New_York.html,CYNYCMEC
Holiday Inn New York City - Times Square,Holiday Inn Nyc Times Sqr,/Hotel_Review-g60763-d7737096-Reviews-Holiday_Inn_New_York_City_Times_Square-New_York_City_New_York.html,HINYCD35
HGU New York,Hgu New York,/Hotel_Review-g60763-d122015-Reviews-HGU_New_York-New_York_City_New_York.html,WVNYC208
Hyatt Herald Square New York,Hyatt Herald Square New York,/Hotel_Review-g60763-d1940859-Reviews-Hyatt_Herald_Square_New_York-New_York_City_New_York.html,HYNYCHHH
Fairfield Inn & Suites New York Manhattan/Times Square,Fairfield Inn N Stes Marriott,/Hotel_Review-g60763-d1390172-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Times_Square-New_York_City_New_York.html,FNNYCFIF
Staybridge Suites Times Square - New York City,Staybridge Stes Time Square Ma,/Hotel_Review-g60763-d1465162-Reviews-Staybridge_Suites_Times_Square_New_York_City-New_York_City_New_York.html,YZNYC930
Hampton Inn Manhattan-Times Square North,Hampton Inn Manhattan Times Sq North,/Hotel_Review-g60763-d93457-Reviews-Hampton_Inn_Manhattan_Times_Square_North-New_York_City_New_York.html,HXNYC851
Hyatt House New York/Chelsea,Hyatt House New York Chelsea,/Hotel_Review-g60763-d10390915-Reviews-Hyatt_House_New_York_Chelsea-New_York_City_New_York.html,HYNYCNHR
Courtyard New York Manhattan/Times Square,Courtyard Times Sq Marriott,/Hotel_Review-g60763-d99368-Reviews-Courtyard_New_York_Manhattan_Times_Square-New_York_City_New_York.html,CYNYCMDC
Heritage Hotel New York City,Heritage Hotel New York City,/Hotel_Review-g60763-d93401-Reviews-Heritage_Hotel_New_York_City-New_York_City_New_York.html,YXNYC329
Broadway Plaza Hotel,Broadway Plaza Hotel,/Hotel_Review-g60763-d223019-Reviews-Broadway_Plaza_Hotel-New_York_City_New_York.html,GDNYCBRO
Hotel 32 32,Hotel 32 32,/Hotel_Review-g60763-d6733290-Reviews-Hotel_32_32-New_York_City_New_York.html,GDNYCH32
Holiday Inn NYC - Lower East Side,Holiday Inn Manhattan East,/Hotel_Review-g60763-d3236642-Reviews-Holiday_Inn_NYC_Lower_East_Side-New_York_City_New_York.html,HINYCE8C
Hotel Giraffe by Library Hotel Collection,Hotel Giraffe By Library Hotel,/Hotel_Review-g60763-d99762-Reviews-Hotel_Giraffe_by_Library_Hotel_Collection-New_York_City_New_York.html,XTNYCGIR
Hotel Metro,Hotel Metro,/Hotel_Review-g60763-d99392-Reviews-Hotel_Metro-New_York_City_New_York.html,WVNYCMET
Fitzpatrick Grand Central Hotel,Fitzpatrick Grand Centralhotel,/Hotel_Review-g60763-d99327-Reviews-Fitzpatrick_Grand_Central_Hotel-New_York_City_New_York.html,YXNYCFIT
The Evelyn,The Evelyn,/Hotel_Review-g60763-d99389-Reviews-The_Evelyn-New_York_City_New_York.html,BTNYCGER
Hotel Belleclaire,Hotel Belleclair,/Hotel_Review-g60763-d93390-Reviews-Hotel_Belleclaire-New_York_City_New_York.html,BTNYCBLC
The Sherry-Netherland Hotel,The Sherry Netherland Lvx,/Hotel_Review-g60763-d93559-Reviews-The_Sherry_Netherland_Hotel-New_York_City_New_York.html,PHNYCSNH
Pod 39 Hotel,Pod 39 Hotel,/Hotel_Review-g60763-d3235844-Reviews-Pod_39_Hotel-New_York_City_New_York.html,OKNYCP39
Hotel Americano,Hotel Americano,/Hotel_Review-g60763-d2151571-Reviews-Hotel_Americano-New_York_City_New_York.html,DSNYCHAM
The Benjamin,The Benjamin,/Hotel_Review-g60763-d217626-Reviews-The_Benjamin-New_York_City_New_York.html,NYNYC105
"Hotel Henri, A Wyndham Hotel","Hotel Henri, A Wyndham Hotel",/Hotel_Review-g60763-d12076837-Reviews-Hotel_Henri_A_Wyndham_Hotel-New_York_City_New_York.html,WYNYC998
Night Times Square,Night Hotel Times Square,/Hotel_Review-g60763-d93376-Reviews-Night_Times_Square-New_York_City_New_York.html,DZNYCSHN
Crosby Street Hotel,Crosby Street Hotel,/Hotel_Review-g60763-d1572980-Reviews-Crosby_Street_Hotel-New_York_City_New_York.html,DSNYCCSH
Off Soho Suites,Off Soho Suites Hotel,/Hotel_Review-g60763-d93374-Reviews-Off_Soho_Suites-New_York_City_New_York.html,UINYCOSG
Best Western Premier Herald Square,Best Western Premier Herald Sq,/Hotel_Review-g60763-d3973287-Reviews-Best_Western_Premier_Herald_Square-New_York_City_New_York.html,BWNYC152
Ace Hotel New York,Ace Hotel Nyc,/Hotel_Review-g60763-d1201072-Reviews-Ace_Hotel_New_York-New_York_City_New_York.html,YXNYCAHN
Hampton Inn Manhattan Grand Central,Hampton Inn Manhattan Grand Central,/Hotel_Review-g60763-d3572587-Reviews-Hampton_Inn_Manhattan_Grand_Central-New_York_City_New_York.html,HXNYC897
The Inn at Irving Place,The Inn At Irving Place,/Hotel_Review-g60763-d93581-Reviews-The_Inn_at_Irving_Place-New_York_City_New_York.html,UILGAIIP
Ameritania Hotel,Ameritania Hotel,/Hotel_Review-g60763-d99332-Reviews-Ameritania_Hotel-New_York_City_New_York.html,WWNYCAME
Moxy NYC Times Square,Moxy By Marriott Nyc Times Sq,/Hotel_Review-g60763-d12301470-Reviews-Moxy_NYC_Times_Square-New_York_City_New_York.html,OXNYCOXO
Econo Lodge Times Square,Econo Lodge Times Square,/Hotel_Review-g60763-d93359-Reviews-Econo_Lodge_Times_Square-New_York_City_New_York.html,EONYC318
