amadeus_name,tripadvisor_name,amadeus_code,tripadvisor_url,amadeus_address,tripadvisor_address,lat,lon
Blakely New York,The Blakely New York,WVNYCBLA,/Hotel_Review-g60763-d93445-Reviews-The_Blakely_New_York-New_York_City_New_York.html,"136 West, 55th Street","136 W 55th St, Bet. 6th & 7th Avenue, New York City, NY 10019-5305",40.76329,-73.97972
Gansevoort Park Avenue Nyc,Gansevoort Park Avenue NYC,GVNYC042,/Hotel_Review-g60763-d1456411-Reviews-Gansevoort_Park_Avenue_NYC-New_York_City_New_York.html,420 Park Avenue South,"420 Park Avenue South, New York City, NY 10016-8403",40.74392,-73.98415
Fairfield Inn N Stes Marriott,Fairfield Inn & Suites New York Manhattan/Chelsea,FNNYCTWF,/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York.html,116 West 28th Street,"116 West 28th Street, New York City, NY 10001",40.7462,-73.99096
Park Lane Hotel New York Con,Park Lane Hotel,PHNYCHPL,/Hotel_Review-g60763-d93579-Reviews-Park_Lane_Hotel-New_York_City_New_York.html,36 Central Park South,"36 Central Park South, 59th Street Between 5th Ave & 6th Ave, New York City, NY 10019-1600",40.76482,-73.97532
Candlewood Suites Time Square,Candlewood Suites New York City Times Square,YONYC73E,/Hotel_Review-g60763-d1025779-Reviews-Candlewood_Suites_New_York_City_Times_Square-New_York_City_New_York.html,339 W. 39th Street,"339 W. 39th Street, New York City, NY 10018-1401",40.7558,-73.9923
Hilton Garden Inn Central Park South,Hilton Garden Inn New York/Central Park South-Midtown West,GINYC483,/Hotel_Review-g60763-d5786212-Reviews-Hilton_Garden_Inn_New_York_Central_Park_South_Midtown_West-New_York_City_New_York.html,237 West 54th Street,"237 West 54th Street, New York City, NY 10019-5589",40.76439,-73.9832
The Bowery Hotel,The Bowery Hotel,PWNYC383,/Hotel_Review-g60763-d634696-Reviews-The_Bowery_Hotel-New_York_City_New_York.html,335 Bowery At East 3rd Street,"335 Bowery, New York City, NY 10003-7138",40.72605,-73.99168
Gramercy Park Hotel,Gramercy Park Hotel,DSNYCGPH,/Hotel_Review-g60763-d571166-Reviews-Gramercy_Park_Hotel-New_York_City_New_York.html,2 Lexington Avenue,"2 Lexington Avenue, New York City, NY 10010-5487",40.73859,-73.98596
Hotel Mimosa,Hotel Mimosa,GDNYCMIM,/Hotel_Review-g60763-d1448670-Reviews-Hotel_Mimosa-New_York_City_New_York.html,79 Division St,"79 Division St, New York City, NY 10002-6201",40.71414,-73.99379
The Roger,The Roger,YXNYCROG,/Hotel_Review-g60763-d80110-Reviews-The_Roger-New_York_City_New_York.html,131 Madison Avenue,"131 Madison Ave, At 31st Street, New York City, NY 10016-7057",40.7458,-73.98433
The Whitby Hotel,The Whitby Hotel,DSNYCWHE,/Hotel_Review-g60763-d10846801-Reviews-The_Whitby_Hotel-New_York_City_New_York.html,18 West 56th Street,"18 W 56th St, New York City, NY 10019",40.76259,-73.97575
Comfort Inn Times Square West,Comfort Inn Times Square West,CIJFK464,/Hotel_Review-g60763-d1485603-Reviews-Comfort_Inn_Times_Square_West-New_York_City_New_York.html,343 West 44th Street,"343 W 44th St, New York City, NY 10036-5402",40.75906,-73.99007
Tryp By Wyndham Times Sq South,TRYP New York City Times Square South,WTNYCTMS,/Hotel_Review-g60763-d2253206-Reviews-TRYP_New_York_City_Times_Square_South-New_York_City_New_York.html,345 West 35th Street,"345 West 35th Street, Steps to Times Square, High-line, Etc, New York City, NY 10001-1701",40.75374,-73.99454
Mondrian Park Avenue,Mondrian Park Avenue,MRNYCSPA,/Hotel_Review-g60763-d12845266-Reviews-Mondrian_Park_Avenue-New_York_City_New_York.html,444 Park Avenue South,"444 Park Avenue South, New York City, NY 10016",40.74477,-73.98317
Best Western Plus Hospitality,Best Western Plus Hospitality House,BWNYC114,/Hotel_Review-g60763-d80087-Reviews-Best_Western_Plus_Hospitality_House-New_York_City_New_York.html,145 East 49th Street,"145 E 49th St, New York City, NY 10017-1210",40.75618,-73.97362
Walker Hotel Greenwich Village,Walker Hotel Greenwich Village,YXNYC467,/Hotel_Review-g60763-d3522780-Reviews-Walker_Hotel_Greenwich_Village-New_York_City_New_York.html,52 West 13th Street,"52 W 13th St, New York City, NY 10011-7902",40.73605,-73.99598
The Manhattan Club,The Manhattan Club,XTNYC720,/Hotel_Review-g60763-d99321-Reviews-The_Manhattan_Club-New_York_City_New_York.html,200 West 56th Street,"200 West 56th Street, New York City, NY 10019-4300",40.76488,-73.98072
Avalon Hotel,Avalon Hotel,YXGOTAVA,/Hotel_Review-g60763-d99387-Reviews-Avalon_Hotel-New_York_City_New_York.html,Kungstorget 9,"16 East 32nd Street, New York City, NY 10016-5402",57.70397,11.96823
Hgi New York Manhattan Chelsea,Hilton Garden Inn New York/Manhattan-Chelsea,GILGA212,/Hotel_Review-g60763-d641209-Reviews-Hilton_Garden_Inn_New_York_Manhattan_Chelsea-New_York_City_New_York.html,121 West 28th Street,"121 West 28th Street, New York City, NY 10001-6102",40.74642,-73.99151
Dream Midtown,Dream Midtown,DZNYCDNY,/Hotel_Review-g60763-d75688-Reviews-Dream_Midtown-New_York_City_New_York.html,210 West 55th Street,"210 W 55th St, New York City, NY 10019-5467",40.76446,-73.98166
Four Points Soho Village,Four Points by Sheraton Manhattan SoHo Village,SINYC537,/Hotel_Review-g60763-d1157456-Reviews-Four_Points_by_Sheraton_Manhattan_SoHo_Village-New_York_City_New_York.html,66 Charlton Street,"66 Charlton St, New York City, NY 10014-4601",40.72721,-74.00604
Marmara Manhattan Hotel,The Marmara Manhattan,YXNYC506,/Hotel_Review-g60763-d121998-Reviews-The_Marmara_Manhattan-New_York_City_New_York.html,301 East 94th Street,"301 East 94th Street, New York City, NY 10128-4718",40.78289,-73.94754
Aka Wall Street,AKA Wall Street,PHNYCWSH,/Hotel_Review-g60763-d10039979-Reviews-AKA_Wall_Street-New_York_City_New_York.html,84 William Street,"84 William St, New York, NY, New York City, NY 10038-4601",40.70798,-74.00771
Gansevoort Meatpacking Nyc,Gansevoort Meatpacking NYC,GVNYC707,/Hotel_Review-g60763-d287626-Reviews-Gansevoort_Meatpacking_NYC-New_York_City_New_York.html,18 Ninth Avenue,"18 9th Avenue, at 13th Street, New York City, NY 10014-1202",40.73354,-74.01031
James Nomad Formerly Carlton,The James New York-NoMad,NYNYCTJN,/Hotel_Review-g60763-d12197432-Reviews-The_James_New_York_NoMad-New_York_City_New_York.html,22 East 29th Street,"22 East 29th Street, New York City, NY 10016",40.74463,-73.98524
Life Hotel Nomad- 5th Ave,Life Hotel,LVNYCCLI,/Hotel_Review-g60763-d93452-Reviews-Life_Hotel-New_York_City_New_York.html,19 West 31 Street,"19 West 31st Street, Off Fifth Ave, New York City, NY 10001-4402",40.74722,-73.98699
Broadway At Times Square Hotel,Broadway at Times Square Hotel,IQNYC041,/Hotel_Review-g60763-d112021-Reviews-Broadway_at_Times_Square_Hotel-New_York_City_New_York.html,129 West 46th Street,"129 West 46th Street, New York City, NY 10036-8502",40.75813,-73.98343
"Club Quarters, Midtown","Club Quarters Hotel, Midtown",CQNYC558,/Hotel_Review-g60763-d223021-Reviews-Club_Quarters_Hotel_Midtown-New_York_City_New_York.html,40 West 45th Street,"40 W 45th St, New York City, NY 10036-4261",40.75587,-73.98084
Hilton Garden Inn Newyork Manhattan,Hilton Garden Inn New York/Manhattan-Midtown East,GILGA963,/Hotel_Review-g60763-d5960548-Reviews-Hilton_Garden_Inn_New_York_Manhattan_Midtown_East-New_York_City_New_York.html,210 East 52nd Street,"206 E 52nd St, New York City, NY 10022-6201",40.75663,-73.96938
Wingate By Wyndham Manhattan M,Wingate by Wyndham Manhattan Midtown,WGLGA451,/Hotel_Review-g60763-d620040-Reviews-Wingate_by_Wyndham_Manhattan_Midtown-New_York_City_New_York.html,235 West 35th Street,"235 W 35th St, New York City, NY 10001-1901",40.75213,-73.99111
La Quinta Inn Ste New York City Central,La Quinta Inn & Suites New York City Central Park,LQNYC871,/Hotel_Review-g60763-d99447-Reviews-La_Quinta_Inn_Suites_New_York_City_Central_Park-New_York_City_New_York.html,31 West 71st Street,"31 W 71st St, New York City, NY 10023-4101",40.77626,-73.97762
The Plaza,The Plaza,FANYC100,/Hotel_Review-g60763-d675616-Reviews-The_Plaza-New_York_City_New_York.html,5th Avenue At 59th Street,"Fifth Avenue at Central Park South, New York City, NY 10019",40.7643,-73.9729
The Marlton Hotel,The Marlton Hotel,IQNYCUSM,/Hotel_Review-g60763-d4972409-Reviews-The_Marlton_Hotel-New_York_City_New_York.html,5 West 8th Street,"5 W 8th St, New York City, NY 10011-9099",40.73243,-73.99665
The Gallivant Times Square,The Gallivant Times Square,YXNYC084,/Hotel_Review-g60763-d75711-Reviews-The_Gallivant_Times_Square-New_York_City_New_York.html,234 48th Street,"234 West 48th Street, New York City, NY 10036-1540",40.76053,-73.98639
Element Times Square,Element New York Times Square West,ELNYC361,/Hotel_Review-g60763-d1852917-Reviews-Element_New_York_Times_Square_West-New_York_City_New_York.html,311 West 39th Street,"311 West 39th Street, Between 8th and 9th, New York City, NY 10018-1401",40.7561,-73.992
The Pierre - A Taj Hotel,"The Pierre, A Taj Hotel, New York",TJNYC709,/Hotel_Review-g60763-d93603-Reviews-The_Pierre_A_Taj_Hotel_New_York-New_York_City_New_York.html,2 East 61st Street,"2 East 61st Street at Fifth Avenue, New York City, NY 10065",40.76541,-73.97197
Doubletree By Hilton Nyc Chelsea,Doubletree Hotel Chelsea - New York City,DTLGA100,/Hotel_Review-g60763-d1214829-Reviews-Doubletree_Hotel_Chelsea_New_York_City-New_York_City_New_York.html,128 West 29th Street,"128 West 29th Street, New York City, NY 10001-5301",40.747,-73.99087
The High Line Hotel,The High Line Hotel,YXNYC575,/Hotel_Review-g60763-d4283443-Reviews-The_High_Line_Hotel-New_York_City_New_York.html,180 Tenth Avenue,"180 10th Ave, at 20th Street, New York City, NY 10011-4707",40.74597,-74.0049
Stewart Hotel,Stewart Hotel,XTNYC600,/Hotel_Review-g60763-d93562-Reviews-Stewart_Hotel-New_York_City_New_York.html,371 Seventh Ave,"371 Seventh Ave, New York City, NY 10001-3984",40.74875,-73.99163
Four Points Midtown Times Sqre,Four Points by Sheraton Midtown - Times Square,SINYC713,/Hotel_Review-g60763-d1464151-Reviews-Four_Points_by_Sheraton_Midtown_Times_Square-New_York_City_New_York.html,326 West 40th Street,"326 W 40th St, New York City, NY 10018-1404",40.7564,-73.9919
Flatiron Hotel,Flatiron Hotel,YXNYCTFH,/Hotel_Review-g60763-d1563892-Reviews-Flatiron_Hotel-New_York_City_New_York.html,9 West 26th Street,"9 W 26th St, New York City, NY 10010-1003",40.74377,-73.98882
W Hotel New York,W New York,WHNYC502,/Hotel_Review-g60763-d112066-Reviews-W_New_York-New_York_City_New_York.html,541 Lexington Avenue,"541 Lexington Avenue, between 49th St and 50th St, New York City, NY 10022-7503",40.7561,-73.9725
6 Columbus A Sixty Hotel,6 Columbus - A SIXTY Hotel,SKNYCWPK,/Hotel_Review-g60763-d93383-Reviews-6_Columbus_A_SIXTY_Hotel-New_York_City_New_York.html,308 W 58th Street,"308 W 58th St, New York City, NY 10019-1804",40.76749,-73.9832
Washington Square Hotel,Washington Square Hotel,YXNYCWAS,/Hotel_Review-g60763-d93382-Reviews-Washington_Square_Hotel-New_York_City_New_York.html,103 Waverly Place,"103 Waverly Place, New York City, NY 10011-9194",40.73252,-73.99867
