name,date_scraped,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range,amenities,tripadvisor rank,star rating,url
Da Vinci Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"244 W 56th St, New York City, NY 10019-4306",,573,3.5,,103-311,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Multilingual Staff', 'Air Conditioning']",373,3.0 Star Hotel,/Hotel_Review-g60763-d99365-Reviews-Da_Vinci_Hotel-New_York_City_New_York.html
The Blakely New York,2017-11-01,12/9/2017,12/10/2017,2,1,"136 W 55th St, Bet. 6th & 7th Avenue, New York City, NY 10019-5305",Orbitz.com,"1,449",4.5,440,218-506,"['Restaurant', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Microwave', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Tennis Court']",129,4.5 Star Hotel,/Hotel_Review-g60763-d93445-Reviews-The_Blakely_New_York-New_York_City_New_York.html
Hotel Deauville,2017-11-01,12/9/2017,12/10/2017,2,1,"103 East 29th Street, New York City, NY 10016",Hotwire.com,,4,,135-175,"['Free High Speed Internet ( WiFi )', 'Air Conditioning']",351,2.0 Star Hotel,/Hotel_Review-g60763-d93364-Reviews-Hotel_Deauville-New_York_City_New_York.html
"Marriott Vacation Club Pulse, New York City",2017-11-01,12/9/2017,12/10/2017,2,1,"33 West 37th Street, New York City, NY 10018-6201",Hotels.com,"2,339",4.5,,167-553,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",173,4.0 Star Hotel,/Hotel_Review-g60763-d1186070-Reviews-Marriott_Vacation_Club_Pulse_New_York_City-New_York_City_New_York.html
36 Hudson Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"449 W 36th St, 36th Street between 9th & 10th Avenues, New York City, NY 10018-6303",Hotels.com,,4,,128-349,"['Free High Speed Internet ( WiFi )', 'Multilingual Staff', 'Airport Transportation', 'Air Conditioning']",362,3.0 Star Hotel,/Hotel_Review-g60763-d1217376-Reviews-36_Hudson_Hotel-New_York_City_New_York.html
Chelsea Inn - 11th Avenue,2017-11-01,12/9/2017,12/10/2017,2,1,"184 11th Avenue, at 23rd Street, New York City, NY 10011",,18,2,,,"['Free High Speed Internet ( WiFi )', 'Air Conditioning']",442,,/Hotel_Review-g60763-d540545-Reviews-Chelsea_Inn_11th_Avenue-New_York_City_New_York.html
Mayfair Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"242 W 49th St, New York City, NY 10019-7405",Hotels.com,,3.5,,112-286,"['Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Restaurant', 'Multilingual Staff', 'Air Conditioning', 'Bar/Lounge', 'Restaurant']",368,3.0 Star Hotel,/Hotel_Review-g60763-d99357-Reviews-Mayfair_Hotel-New_York_City_New_York.html
Hampton Inn Manhattan-Chelsea,2017-11-01,12/9/2017,12/10/2017,2,1,"108 West 24th Street, New York City, NY 10011-1902",Hampton.com,"1,920",4.5,446,169-485,"['Fitness Center with Gym / Workout Room', 'Free Internet', 'Breakfast included', 'Business Center with Internet Access', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Fitness Center with Gym / Workout Room']",162,3.0 Star Hotel,/Hotel_Review-g60763-d268216-Reviews-Hampton_Inn_Manhattan_Chelsea-New_York_City_New_York.html
Bristol Plaza,2017-11-01,12/9/2017,12/10/2017,2,1,"210 E 65th St, New York City, NY 10065-6697",,9,5,,,"['Fitness Center with Gym / Workout Room', 'Pool', 'Free High Speed Internet ( WiFi )', 'Spa', 'Concierge', 'Fitness Center with Gym / Workout Room', 'Pool', 'Spa']",390,,/Hotel_Review-g60763-d93418-Reviews-Bristol_Plaza-New_York_City_New_York.html
Lotte New York Palace,2017-11-01,12/9/2017,12/10/2017,2,1,"455 Madison Avenue, New York City, NY 10022-6845",,"3,516",4.5,,277-1089,"['Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Business Center with Internet Access', 'Room Service', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa']",80,4.5 Star Hotel,/Hotel_Review-g60763-d126260-Reviews-Lotte_New_York_Palace-New_York_City_New_York.html
Hotel Cliff,2017-11-01,12/9/2017,12/10/2017,2,1,"505 W 181st St, New York City, NY 10033-5102",,9,2.5,,166-412,"['Free Parking', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Free Parking', 'Room Service', 'Airport Transportation', 'Air Conditioning']",441,2.5 Star Hotel,/Hotel_Review-g60763-d8530894-Reviews-Hotel_Cliff-New_York_City_New_York.html
Gansevoort Park Avenue NYC,2017-11-01,12/9/2017,12/10/2017,2,1,"420 Park Avenue South, New York City, NY 10016-8403",Priceline,"2,347",4.5,488,306-693,"['Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Spa', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Pool', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Spa', 'Heated pool', 'Outdoor pool']",85,4.5 Star Hotel,/Hotel_Review-g60763-d1456411-Reviews-Gansevoort_Park_Avenue_NYC-New_York_City_New_York.html
Sago Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"120 Allen St, New York City, NY 10002-3004",Expedia.com,84,4.5,360,333-516,"['Free High Speed Internet ( WiFi )', 'Restaurant', 'Bar/Lounge', 'Concierge', 'Dry Cleaning', 'Laundry Service', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Bar/Lounge']",331,4.0 Star Hotel,/Hotel_Review-g60763-d9608281-Reviews-Sago_Hotel-New_York_City_New_York.html
Fairfield Inn & Suites New York Manhattan/Chelsea,2017-11-01,12/9/2017,12/10/2017,2,1,"116 West 28th Street, New York City, NY 10001",Fairfield Inn,837,4.5,360,171-519,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Breakfast included', 'Breakfast included', 'Business Center with Internet Access', 'Multilingual Staff', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",207,3.0 Star Hotel,/Hotel_Review-g60763-d1949647-Reviews-Fairfield_Inn_Suites_New_York_Manhattan_Chelsea-New_York_City_New_York.html
Oxbridge Midtown East Apartments,2017-11-01,12/9/2017,12/10/2017,2,1,"210 E 47th St, New York City, NY 10017-2108",,,3.5,,,"['Free Internet', 'Laundry Service', 'Concierge', 'Refrigerator in room']",427,,/Hotel_Review-g60763-d1199530-Reviews-Oxbridge_Midtown_East_Apartments-New_York_City_New_York.html
New York Marriott East Side,2017-11-01,12/9/2017,12/10/2017,2,1,"525 Lexington Avenue at 49th Street, New York City, NY 10017",Booking.com,"2,223",4,413,197-635,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Room Service', 'Breakfast Available', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",283,4.0 Star Hotel,/Hotel_Review-g60763-d93475-Reviews-New_York_Marriott_East_Side-New_York_City_New_York.html
The Westin New York Grand Central,2017-11-01,12/9/2017,12/10/2017,2,1,"212 East 42nd Street, Between 2nd Ave and 3rd Ave, New York City, NY 10017-5803",AMOMA,"3,487",4,369,201-618,"['Room Service', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",221,4.5 Star Hotel,/Hotel_Review-g60763-d93593-Reviews-The_Westin_New_York_Grand_Central-New_York_City_New_York.html
"The Lexington New York City, Autograph Collection",2017-11-01,12/9/2017,12/10/2017,2,1,"511 Lexington Avenue, at 48th Street, New York City, NY 10017",Expedia.com,"3,421",4,429,180-532,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Free Internet', 'Bar/Lounge', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",279,4.0 Star Hotel,/Hotel_Review-g60763-d93526-Reviews-The_Lexington_New_York_City_Autograph_Collection-New_York_City_New_York.html
Seafarers & International House,2017-11-01,12/9/2017,12/10/2017,2,1,"123 E 15th St, New York City, NY 10003-3594",,,4,,93-169,"['Free Internet', 'Air Conditioning']",365,2.0 Star Hotel,/Hotel_Review-g60763-d609602-Reviews-Seafarers_International_House-New_York_City_New_York.html
Hotel Shocard at Times Square,2017-11-01,12/9/2017,12/10/2017,2,1,"206 West 41th Street, New York City, NY 10036-7203",Expedia.com,235,4,424,156-459,"['Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Bar/Lounge']",284,3.0 Star Hotel,/Hotel_Review-g60763-d254605-Reviews-Hotel_Shocard_at_Times_Square-New_York_City_New_York.html
The MAve Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"62 Madison Ave, At 27th Street, New York City, NY 10016-8704",Cancelon,956,4,548,379-702,"['Free Internet', 'Air Conditioning']",386,3.0 Star Hotel,/Hotel_Review-g60763-d1477775-Reviews-The_MAve_Hotel-New_York_City_New_York.html
