location_cell,lat,lon
0,40.72605,-73.99168
1,40.73198,-73.86649
2,40.60828,-74.14617
3,40.756663333333336,-73.96954
4,40.66632,-73.77945
5,40.87021,-73.87779
6,40.677800000000005,-73.983705
7,40.7457675,-73.9844825
8,40.6747,-73.90581
9,40.756460000000004,-73.941225
10,40.70965666666667,-74.01371333333333
11,40.76076333333334,-73.83279333333333
12,40.80906,-73.95155
13,40.65088,-74.01161
14,40.584,-73.93862
15,40.755951,-73.992012
16,40.7479,-73.79207
17,40.782425,-73.98091
18,40.72175,-73.958465
19,40.587495000000004,-74.190945
20,40.768840000000004,-73.86826
21,40.67861,-73.95014
22,40.84944,-73.84269
23,40.76432714285714,-73.98166142857143
24,40.66529,-73.80603
25,40.70483,-73.8169
26,40.81535,-73.91596
27,40.721450000000004,-74.004325
28,40.77969,-73.95453
29,40.680915,-74.006205
30,40.72659,-73.90645
31,40.61752,-73.9278
32,40.87975,-73.83186
33,40.61424,-74.174185
34,40.7411,-74.00321500000001
35,40.62484,-74.02764
36,40.76167,-73.76069
37,40.69384,-73.98916
38,40.794235,-73.97185
39,40.736485,-73.93492
40,40.83973,-73.88132
41,40.69437,-73.93107
42,40.7856,-73.8113
43,40.713253333333334,-73.99336333333333
44,40.65665,-73.88932
45,40.752340000000004,-73.976295
46,40.66302,-73.99766
47,40.76634,-73.93358
48,40.6676,-73.79867
49,40.81814,-73.9304
50,40.7521,-73.85393
51,40.76468,-73.97246333333334
52,40.76127666666667,-73.98615
53,40.703645,-74.01183
54,40.76581,-73.88615
55,40.746896666666665,-73.99120666666667
56,40.732475,-73.99766
57,40.66834,-73.92039
58,40.7060375,-74.00615
59,40.7211,-73.81777
60,40.75095,-73.935365
61,40.751223333333336,-73.98528666666667
62,40.7183,-73.98623
63,40.737275,-73.98646
64,40.71631,-73.95086
65,40.68742,-73.98222000000001
66,40.718435,-73.995175
67,40.66904,-73.99303
68,40.70224,-73.99554
69,40.756615,-73.98098
70,40.75587142857143,-73.97257571428571
71,40.73354,-74.01031
72,40.77431,-73.96402
73,40.712986666666666,-74.00976
74,40.76413,-73.99496
75,40.754780000000004,-73.93599666666667
76,40.754,-73.94925
77,40.726056666666665,-74.00773666666667
78,40.753792,-73.99372
79,40.7506125,-73.9715425
80,40.78289,-73.94754
81,40.76236,-73.92444
82,40.67322,-73.98699
83,40.75043,-74.00284
84,40.77626,-73.97762
85,40.74869,-73.94094333333334
86,40.76825,-73.983065
87,40.665775,-73.78446500000001
88,40.76171333333333,-73.97878
89,40.79876,-73.96827
90,40.744594,-73.98831
91,40.66726,-73.79395500000001
92,40.74437666666667,-73.98308166666666
93,40.65209,-74.00529
94,40.760805000000005,-73.96944500000001
95,40.68933,-73.988565
96,40.80993,-73.92932
97,40.764405000000004,-73.9761475
98,40.74597,-74.0049
99,40.75969,-73.989925
100,40.76354,-73.82983
101,40.69568,-73.98396
102,40.70831,-74.0088825
103,40.75779,-73.983875
104,40.75142666666667,-73.99038333333334
105,40.71988,-74.00015
106,40.722674999999995,-73.99229500000001
107,40.74976,-73.99539
108,40.74398,-73.99608
109,40.70557,-74.01739
110,40.7472175,-73.9870575
111,40.73605,-73.99598
112,40.76724,-73.98844
113,40.721595,-73.956055
114,40.67837,-73.94654
115,40.72299,-73.99741
116,40.70906,-74.00199
117,40.71541,-73.99948
118,40.75553,-73.99759
119,40.75858,-73.96805
120,40.743285,-73.990545
121,40.72117,-73.98894
122,40.7412,-73.98773
123,40.66881,-73.78179
124,40.76113,-73.83524
125,40.76634,-73.979525
126,40.71082,-74.00679
127,40.74094,-73.98335
128,40.749674999999996,-73.97679
129,40.77935,-73.97736
