name,check_in,check_out,adults,rooms,provider,reviews,rating,price,features,url
Crowne Plaza HY36 Midtown Manhattan,2017-12-09,2017_12_10,2,1,CrownePlaza.com,78,5,499,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Children Activities (Kid / Family Friendly)', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d11854022-Reviews-Crowne_Plaza_HY36_Midtown_Manhattan-New_York_City_New_York.html
Hotel 50 Bowery NYC,2017-12-09,2017_12_10,2,1,TripAdvisor,463,5,399,"['Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d10066892-Reviews-Hotel_50_Bowery_NYC-New_York_City_New_York.html
Hotel Elysee by Library Hotel Collection,2017-12-09,2017_12_10,2,1,TripAdvisor,"4,048",4.5,602,"['Room Service', 'Free High Speed Internet ( WiFi )', 'Restaurant', 'Bar/Lounge', 'Breakfast included', 'Room Service', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge']",/Hotel_Review-g60763-d93340-Reviews-Hotel_Elysee_by_Library_Hotel_Collection-New_York_City_New_York.html
The Broome,2017-12-09,2017_12_10,2,1,Priceline,485,5,530,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Minibar']",/Hotel_Review-g60763-d5072714-Reviews-The_Broome-New_York_City_New_York.html
The Bryant Park Hotel,2017-12-09,2017_12_10,2,1,HotelQuickly,"3,715",4.5,608,"['Restaurant', 'Room Service', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",/Hotel_Review-g60763-d224214-Reviews-The_Bryant_Park_Hotel-New_York_City_New_York.html
"The Beekman, A Thompson Hotel",2017-12-09,2017_12_10,2,1,The Beekman,510,5,441,"['Room Service', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Children Activities (Kid / Family Friendly)', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Banquet Room', 'Air Conditioning', 'Minibar', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",/Hotel_Review-g60763-d8615610-Reviews-The_Beekman_A_Thompson_Hotel-New_York_City_New_York.html
NobleDEN Hotel,2017-12-09,2017_12_10,2,1,Hotwire.com,720,4.5,432,"['Free High Speed Internet ( WiFi )', 'Multilingual Staff', 'Air Conditioning']",/Hotel_Review-g60763-d7363884-Reviews-NobleDEN_Hotel-New_York_City_New_York.html
Four Seasons Hotel New York Downtown,2017-12-09,2017_12_10,2,1,Orbitz.com,337,4.5,750,"['Pool', 'Room Service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Banquet Room', 'Conference Facilities', 'Airport Transportation', 'Multilingual Staff', 'Breakfast Available', 'Air Conditioning', 'Minibar', 'Pool', 'Restaurant', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room', 'Heated pool', 'Indoor pool']",/Hotel_Review-g60763-d10330604-Reviews-Four_Seasons_Hotel_New_York_Downtown-New_York_City_New_York.html
"The Langham, New York, Fifth Avenue",2017-12-09,2017_12_10,2,1,Agoda.com,"2,268",4.5,761,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Spa', 'Room Service', 'Children Activities (Kid / Family Friendly)', 'Airport Transportation', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Banquet Room', 'Babysitting', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Spa']",/Hotel_Review-g60763-d1776857-Reviews-The_Langham_New_York_Fifth_Avenue-New_York_City_New_York.html
LUMA Hotel Times Square,2017-12-09,2017_12_10,2,1,Booking.com,219,4.5,680,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Laundry Service', 'Concierge', 'Room Service', 'Dry Cleaning', 'Multilingual Staff', 'Breakfast Available', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Restaurant', 'Bar/Lounge']",/Hotel_Review-g60763-d10679074-Reviews-LUMA_Hotel_Times_Square-New_York_City_New_York.html
The Roxy Hotel Tribeca,2017-12-09,2017_12_10,2,1,Priceline,553,4.5,420,"['Restaurant', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",/Hotel_Review-g60763-d208455-Reviews-The_Roxy_Hotel_Tribeca-New_York_City_New_York.html
