name,date_scraped,check_in,check_out,adults,rooms,address,provider,reviews,rating,price,range,amenities,tripadvisor rank,star rating,url
La Quinta Inn & Suites Far Rockaway - JFK Airport,2017-11-07,2017-12-09,2017-12-10,2,1,"4317 Rockaway Beach Blvd, Far Rockaway, NY 11691-1204",La Quinta,67,3.5,149,135-197,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Free Parking', 'Breakfast included', 'Shuttle Bus Service', 'Air Conditioning', 'Refrigerator in room']",1,2.5 Star Hotel,/Hotel_Review-g47702-d8729832-Reviews-La_Quinta_Inn_Suites_Far_Rockaway_JFK_Airport-Far_Rockaway_Queens_New_York.html
Cassa Hotel Times Square,2017-11-07,2017-12-09,2017-12-10,2,1,"515 Ninth Avenue, at 39th Street, New York City, NY 10018-2802",HRS.com,"1,229",4.5,,189-616,"['Free High Speed Internet ( WiFi )', 'Room Service', 'Bar/Lounge', 'Spa', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Bar/Lounge', 'Spa', 'Hot Tub', 'Fitness Center with Gym / Workout Room']",122,4.0 Star Hotel,/Hotel_Review-g60763-d7148761-Reviews-Cassa_Hotel_Times_Square-New_York_City_New_York.html
Fifty NYC–an Affinia hotel,2017-11-07,2017-12-09,2017-12-10,2,1,"155 East 50th Street, New York City, NY 10022-9503",Booking.com,"1,391",4.5,480,185-566,"['Fitness Center with Gym / Workout Room', 'Room Service', 'Concierge', 'Multilingual Staff', 'Dry Cleaning', 'Room Service', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Fitness Center with Gym / Workout Room']",167,4.0 Star Hotel,/Hotel_Review-g60763-d502408-Reviews-Fifty_NYC_an_Affinia_hotel-New_York_City_New_York.html
La Quinta Inn & Suites Brooklyn East,2017-11-07,2017-12-09,2017-12-10,2,1,"1412 Pitkin Ave, Brooklyn, NY 11233-5110",Booking.com,43,4,199,173-301,['Free High Speed Internet ( WiFi )'],31,2.5 Star Hotel,/Hotel_Review-g60827-d8595091-Reviews-La_Quinta_Inn_Suites_Brooklyn_East-Brooklyn_New_York.html
Giorgio Hotel,2017-11-07,2017-12-09,2017-12-10,2,1,"38-60 13th Street, Long Island City, NY 11101",TripAdvisor,1,5,150,61-174,"['$61 - $174 (Based on Average Rates for a Standard Room) ', 'TripAdvisor is proud to partner with Booking.com, Expedia, Hotels.com, Orbitz, Travelocity, Cheap Tickets and Agoda so you can book your Giorgio Hotel reservations with confidence. We help millions of travelers each month to find the perfect hotel for both vacation and business trips, always with the best discounts and special offers. ', 'United States >', 'New York >', 'Queens >', 'Long Island City ', 'Giorgio Hotel Long Island City, New York ']",26,,/Hotel_Review-g48080-d12816864-Reviews-Giorgio_Hotel-Long_Island_City_Queens_New_York.html
Home2 Suites by Hilton New York Long Island City/ Manhattan View,2017-11-07,2017-12-09,2017-12-10,2,1,"39-06 30th St, Long Island City, NY 11101-2806",,"1,088",4.5,,166-348,"['Fitness Center with Gym / Workout Room', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Dry Cleaning', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Breakfast Available', 'Air Conditioning', 'Microwave', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room']",1,2.5 Star Hotel,/Hotel_Review-g48080-d6002536-Reviews-Home2_Suites_by_Hilton_New_York_Long_Island_City_Manhattan_View-Long_Island_City_Queens.html
Comfort Inn Staten Island,2017-11-07,2017-12-09,2017-12-10,2,1,"310 Wild Ave, Staten Island, NY 10314-4710",ComfortInn,353,4,88,95-211,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Shuttle Bus Service', 'Breakfast included', 'Breakfast Available', 'Meeting Rooms', 'Business Center with Internet Access', 'Multilingual Staff', 'Air Conditioning', 'Fitness Center with Gym / Workout Room']",4,2.5 Star Hotel,/Hotel_Review-g48682-d1204391-Reviews-Comfort_Inn_Staten_Island-Staten_Island_New_York.html
Best Western JFK Airport Hotel,2017-11-07,2017-12-09,2017-12-10,2,1,"14425 153rd Ln, Jamaica, NY 11434-4203",BestWestern.com,915,3.5,184,153-261,"['Free Parking', 'Free High Speed Internet ( WiFi )', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Free Parking', 'Shuttle Bus Service', 'Airport Transportation', 'Breakfast included', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Fitness Center with Gym / Workout Room']",6,2.5 Star Hotel,/Hotel_Review-g47962-d268513-Reviews-Best_Western_JFK_Airport_Hotel-Jamaica_Queens_New_York.html
414 Hotel,2017-11-07,2017-12-09,2017-12-10,2,1,"414 West 46th Street, New York City, NY 10036-3505",,"1,422",4.5,,262-435,"['Free High Speed Internet ( WiFi )', 'Breakfast included', 'Breakfast included', 'Laundry Service', 'Concierge', 'Multilingual Staff']",2,3.0 Star Hotel,/Hotel_Review-g60763-d217630-Reviews-414_Hotel-New_York_City_New_York.html
Cassa Hotel 45th Street New York,2017-11-07,2017-12-09,2017-12-10,2,1,"70 West 45th Street, New York City, NY 10036",Orbitz.com,"2,177",4.5,433,194-620,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge', 'Room Service', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Room Service', 'Air Conditioning', 'Refrigerator in room', 'Fitness Center with Gym / Workout Room', 'Restaurant', 'Bar/Lounge']",118,4.0 Star Hotel,/Hotel_Review-g60763-d1806062-Reviews-Cassa_Hotel_45th_Street_New_York-New_York_City_New_York.html
DoubleTree by Hilton Hotel Nanuet,2017-11-07,2017-12-09,2017-12-10,2,1,"425 E Route 59, Nanuet, NY 10954-2908",Doubletree.com,457,4.5,127,111-204,"['Pool', 'Room Service', 'Free Parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Free Parking', 'Meeting Rooms', 'Business Center with Internet Access', 'Laundry Service', 'Banquet Room', 'Conference Facilities', 'Dry Cleaning', 'Self-Serve Laundry', 'Air Conditioning', 'Pool', 'Restaurant', 'Bar/Lounge', 'Hot Tub', 'Fitness Center with Gym / Workout Room', 'Heated pool', 'Indoor pool']",1,3.0 Star Hotel,/Hotel_Review-g48224-d8277068-Reviews-DoubleTree_by_Hilton_Hotel_Nanuet-Nanuet_New_York.html
Wyndham Garden Brooklyn Sunset Park,2017-11-07,2017-12-09,2017-12-10,2,1,"457 39th St, Brooklyn, NY 11232-2909",AMOMA,246,4,235,147-319,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet ( WiFi )', 'Room Service', 'Room Service', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Refrigerator in room', 'Microwave', 'Restaurant', 'Bar/Lounge']",21,4.0 Star Hotel,/Hotel_Review-g60827-d8355861-Reviews-Wyndham_Garden_Brooklyn_Sunset_Park-Brooklyn_New_York.html
The Benjamin,2017-11-07,2017-12-09,2017-12-10,2,1,"125 East 50th Street, at Lexington Avenue, New York City, NY 10022-9501",Booking.com,"2,744",4.5,586,230-674,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Breakfast Available', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",92,4.5 Star Hotel,/Hotel_Review-g60763-d217626-Reviews-The_Benjamin-New_York_City_New_York.html
Henry Norman Hotel,2017-11-07,2017-12-09,2017-12-10,2,1,"251 N Henry St, Brooklyn, NY 11222-1939",Booking.com,669,5,299,215-419,"['Free High Speed Internet ( WiFi )', 'Fitness Center with Gym / Workout Room', 'Dry Cleaning', 'Business Center with Internet Access', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Self-Serve Laundry', 'Air Conditioning', 'Refrigerator in room', 'Minibar', 'Fitness Center with Gym / Workout Room']",1,3.5 Star Hotel,/Hotel_Review-g60827-d6696297-Reviews-Henry_Norman_Hotel-Brooklyn_New_York.html
