name,date_scraped,check_in,check_out,adults,rooms,address,lat,lon,provider,reviews,rating,price,range,amenities,tripadvisor rank,star rating,url
The Blakely New York,2017-11-01,12/9/2017,12/10/2017,2,1,"136 W 55th St, Bet. 6th & 7th Avenue, New York City, NY 10019-5305",42.737489,-78.573149,Orbitz.com,"1,449",4.5,440,218-506,"['Restaurant', 'Room Service', 'Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Breakfast included', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Breakfast included', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Air Conditioning', 'Microwave', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Tennis Court']",129,4.5 Star Hotel,/Hotel_Review-g60763-d93445-Reviews-The_Blakely_New_York-New_York_City_New_York.html
36 Hudson Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"449 W 36th St, 36th Street between 9th & 10th Avenues, New York City, NY 10018-6303",36.0134733,-95.9137715,Hotels.com,,4,,128-349,"['Free High Speed Internet ( WiFi )', 'Multilingual Staff', 'Airport Transportation', 'Air Conditioning']",362,3.0 Star Hotel,/Hotel_Review-g60763-d1217376-Reviews-36_Hudson_Hotel-New_York_City_New_York.html
Chelsea Inn - 11th Avenue,2017-11-01,12/9/2017,12/10/2017,2,1,"184 11th Avenue, at 23rd Street, New York City, NY 10011",,,,18,2,,,"['Free High Speed Internet ( WiFi )', 'Air Conditioning']",442,,/Hotel_Review-g60763-d540545-Reviews-Chelsea_Inn_11th_Avenue-New_York_City_New_York.html
Bristol Plaza,2017-11-01,12/9/2017,12/10/2017,2,1,"210 E 65th St, New York City, NY 10065-6697",40.12618895,-74.8849577062947,,9,5,,,"['Fitness Center with Gym / Workout Room', 'Pool', 'Free High Speed Internet ( WiFi )', 'Spa', 'Concierge', 'Fitness Center with Gym / Workout Room', 'Pool', 'Spa']",390,,/Hotel_Review-g60763-d93418-Reviews-Bristol_Plaza-New_York_City_New_York.html
New York Marriott East Side,2017-11-01,12/9/2017,12/10/2017,2,1,"525 Lexington Avenue at 49th Street, New York City, NY 10017",,,Booking.com,"2,223",4,413,197-635,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Room Service', 'Breakfast Available', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",283,4.0 Star Hotel,/Hotel_Review-g60763-d93475-Reviews-New_York_Marriott_East_Side-New_York_City_New_York.html
The Westin New York Grand Central,2017-11-01,12/9/2017,12/10/2017,2,1,"212 East 42nd Street, Between 2nd Ave and 3rd Ave, New York City, NY 10017-5803",40.75017085,-73.9739823853646,AMOMA,"3,487",4,369,201-618,"['Room Service', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Dry Cleaning', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Minibar', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",221,4.5 Star Hotel,/Hotel_Review-g60763-d93593-Reviews-The_Westin_New_York_Grand_Central-New_York_City_New_York.html
"The Lexington New York City, Autograph Collection",2017-11-01,12/9/2017,12/10/2017,2,1,"511 Lexington Avenue, at 48th Street, New York City, NY 10017",40.75490625,-73.973035720912,Expedia.com,"3,421",4,429,180-532,"['Restaurant', 'Fitness Center with Gym / Workout Room', 'Free Internet', 'Bar/Lounge', 'Business Center with Internet Access', 'Dry Cleaning', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Multilingual Staff', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Fitness Center with Gym / Workout Room', 'Bar/Lounge']",279,4.0 Star Hotel,/Hotel_Review-g60763-d93526-Reviews-The_Lexington_New_York_City_Autograph_Collection-New_York_City_New_York.html
Hotel Shocard at Times Square,2017-11-01,12/9/2017,12/10/2017,2,1,"206 West 41th Street, New York City, NY 10036-7203",,,Expedia.com,235,4,424,156-459,"['Free High Speed Internet ( WiFi )', 'Bar/Lounge', 'Concierge', 'Multilingual Staff', 'Air Conditioning', 'Refrigerator in room', 'Bar/Lounge']",284,3.0 Star Hotel,/Hotel_Review-g60763-d254605-Reviews-Hotel_Shocard_at_Times_Square-New_York_City_New_York.html
The MAve Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"62 Madison Ave, At 27th Street, New York City, NY 10016-8704",42.7367277,-4.2739455,Cancelon,956,4,548,379-702,"['Free Internet', 'Air Conditioning']",386,3.0 Star Hotel,/Hotel_Review-g60763-d1477775-Reviews-The_MAve_Hotel-New_York_City_New_York.html
Park Lane Hotel,2017-11-01,12/9/2017,12/10/2017,2,1,"36 Central Park South, 59th Street Between 5th Ave & 6th Ave, New York City, NY 10019-1600",40.7648557,-73.9753441597068,Expedia.com,"6,538",4,599,191-598,"['Restaurant', 'Room Service', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room', 'Room Service', 'Business Center with Internet Access', 'Meeting Rooms', 'Laundry Service', 'Concierge', 'Banquet Room', 'Multilingual Staff', 'Dry Cleaning', 'Conference Facilities', 'Air Conditioning', 'Restaurant', 'Bar/Lounge', 'Fitness Center with Gym / Workout Room']",257,4.0 Star Hotel,/Hotel_Review-g60763-d93579-Reviews-Park_Lane_Hotel-New_York_City_New_York.html
